Date,USD AM,USD PM,GBP AM,GBP PM,EUR AM,EUR PM
02/15/2024,1996.9,2004.05,1590.13,1592.62,1860.31,1859.56
02/16/2024,2005.4,1997.9,1593.69,1590.13,1862.82,1858.25
02/19/2024,2020.35,2017.05,1601.33,1601.54,1874.68,1873.64
02/20/2024,2026.8,2029.1,1607.66,1602.99,1876.41,1873.67
02/21/2024,2028.8,2026.75,1608.43,1605.79,1878.47,1874.34
02/22/2024,2030.9,2024.0,1601.77,1603.41,1871.27,1872.2
02/23/2024,2019.3,2027.45,1594.04,1597.83,1865.63,1873.16
02/26/2024,2035.15,2027.2,1604.51,1598.85,1876.0,1869.28
02/27/2024,2036.0,2035.05,1606.2,1605.65,1876.99,1877.13
02/28/2024,2025.25,2032.45,1601.97,1607.06,1872.34,1876.97
02/29/2024,2032.8,2048.05,1604.69,1615.3,1873.63,1886.66
03/01/2024,2050.3,2049.8,1624.25,1624.67,1898.17,1895.66
03/04/2024,2083.15,2098.05,1643.4,1653.26,1920.04,1931.67
03/05/2024,2126.25,2134.4,1676.34,1676.57,1959.13,1963.43
03/06/2024,2127.35,2142.85,1672.1,1684.07,1955.89,1968.64
03/07/2024,2156.85,2153.45,1691.62,1686.8,1979.77,1973.42
03/08/2024,2168.65,2171.2,1690.9,1686.37,1984.1,1982.52
03/11/2024,2178.45,2180.45,1696.36,1701.62,1991.32,1996.2
03/12/2024,2176.4,2161.25,1701.51,1692.26,1990.97,1979.92
03/13/2024,2160.85,2168.4,1689.57,1693.95,1977.18,1981.48
03/14/2024,2169.8,2160.8,1693.31,1694.5,1983.41,1982.53
03/15/2024,2170.35,2163.45,1701.34,1698.09,1992.16,1987.13
03/18/2024,2155.3,2158.15,1692.99,1696.09,1977.27,1982.48
03/19/2024,2154.3,2154.9,1698.67,1695.04,1986.91,1984.02
03/20/2024,2153.4,2157.45,1696.23,1697.7,1986.08,1988.09
03/21/2024,2210.65,2170.5,1730.72,1710.57,2024.96,1996.43
03/22/2024,2166.25,2171.6,1721.74,1722.95,2002.48,2007.86
03/25/2024,2168.35,2176.7,1718.63,1721.77,2004.42,2009.09
03/26/2024,2193.45,2179.8,1731.95,1725.53,2019.29,2010.87
03/27/2024,2192.05,2192.7,1735.45,1736.84,2024.14,2026.93
03/28/2024,2207.0,2214.35,1749.71,1752.88,2045.67,2050.71
04/02/2024,2264.55,2264.5,1801.68,1802.54,2108.75,2103.27
04/03/2024,2270.75,2280.15,1805.02,1809.53,2108.85,2109.82
04/04/2024,2292.5,2293.5,1810.85,1809.11,2111.16,2109.1
04/05/2024,2288.45,2298.55,1811.08,1825.28,2110.87,2128.0
04/08/2024,2336.9,2320.25,1850.59,1836.01,2158.13,2139.04
04/09/2024,2364.2,2356.1,1866.3,1855.43,2176.25,2165.49
04/10/2024,2346.85,2333.0,1848.85,1856.83,2160.74,2170.16
04/11/2024,2331.75,2345.65,1859.1,1870.19,2171.79,2185.68
04/12/2024,2394.8,2401.5,1916.8,1929.12,2246.08,2257.17
04/15/2024,2347.15,2344.2,1879.6,1880.05,2202.33,2204.02
04/16/2024,2369.0,2369.15,1903.73,1903.14,2230.18,2228.9
04/17/2024,2393.75,2390.35,1918.83,1918.49,2248.45,2245.73
04/18/2024,2379.85,2382.7,1907.93,1913.31,2228.73,2235.93
04/19/2024,2381.8,2379.7,1912.82,1910.19,2234.84,2230.97
04/22/2024,2361.45,2334.95,1911.83,1896.68,2216.22,2196.02
04/23/2024,2298.15,2328.45,1859.66,1871.38,2155.21,2175.7
04/24/2024,2312.3,2320.25,1860.01,1865.25,2163.39,2169.67
04/25/2024,2325.65,2318.7,1857.96,1860.76,2168.9,2167.98
04/26/2024,2349.8,2343.1,1878.2,1873.78,2189.31,2187.75
04/29/2024,2337.6,2333.55,1867.51,1863.11,2182.85,2180.24
04/30/2024,2314.8,2307.0,1844.9,1842.14,2157.86,2154.05
05/01/2024,2288.5,2302.35,1832.4,1843.72,2144.78,2155.23
05/02/2024,2300.55,2288.85,1838.6,1833.83,2150.78,2143.51
05/03/2024,2301.1,2294.45,1831.68,1828.45,2141.63,2131.09
05/07/2024,2315.0,2319.6,1846.21,1846.87,2152.02,2151.43
05/08/2024,2308.55,2309.05,1849.61,1850.47,2147.87,2147.42
05/09/2024,2308.7,2325.7,1850.42,1860.09,2151.94,2159.65
05/10/2024,2371.05,2372.45,1891.62,1893.22,2198.2,2200.21
05/13/2024,2340.3,2343.8,1867.79,1865.43,2170.39,2169.42
05/14/2024,2347.4,2354.85,1872.29,1871.87,2175.81,2176.82
05/15/2024,2371.8,2357.5,1879.41,1868.08,2190.36,2175.27
05/16/2024,2383.65,2377.4,1881.65,1879.33,2192.96,2189.35
05/17/2024,2381.75,2402.6,1882.77,1894.69,2196.69,2212.79
05/20/2024,2444.35,2420.3,1924.19,1905.02,2249.05,2227.64
05/21/2024,2417.05,2427.3,1900.53,1909.56,2222.72,2237.24
05/22/2024,2414.25,2407.9,1897.36,1889.96,2226.18,2222.25
05/23/2024,2361.8,2357.35,1857.79,1853.11,2179.0,2174.89
05/24/2024,2339.75,2342.7,1840.68,1841.36,2160.53,2159.74
05/28/2024,2344.7,2350.65,1836.6,1839.85,2156.89,2164.24
05/29/2024,2340.9,2343.35,1834.8,1840.0,2157.84,2161.97
05/30/2024,2337.55,2348.55,1838.48,1844.79,2161.06,2168.18
05/31/2024,2342.9,2348.25,1842.46,1840.56,2160.62,2160.39
06/03/2024,2324.7,2337.7,1830.0,1832.29,2144.77,2151.62
06/04/2024,2330.5,2326.0,1825.95,1821.72,2142.66,2139.45
06/05/2024,2332.25,2340.05,1825.92,1830.39,2144.5,2150.51
06/06/2024,2360.85,2360.6,1846.18,1846.23,2170.09,2168.68
06/07/2024,2338.0,2310.8,1827.61,1815.6,2146.05,2135.64
06/10/2024,2297.65,2304.4,1808.48,1813.79,2136.81,2146.32
06/11/2024,2302.5,2316.5,1809.3,1821.93,2143.4,2159.67
06/12/2024,2314.9,2326.25,1815.58,1812.38,2153.32,2147.59
06/13/2024,2316.35,2310.8,1811.15,1808.89,2143.55,2142.34
06/14/2024,2316.9,2330.45,1822.71,1840.36,2169.31,2183.86
06/17/2024,2320.7,2319.9,1831.26,1830.17,2166.61,2164.47
06/18/2024,2312.05,2324.35,1823.05,1828.33,2157.37,2163.74
06/19/2024,2328.6,2324.25,1829.12,1826.63,2168.16,2163.41
06/20/2024,2332.95,2351.6,1837.2,1854.24,2176.88,2192.16
06/21/2024,2364.0,2335.05,1867.8,1848.66,2211.52,2186.07
06/24/2024,2327.2,2328.75,1837.79,1834.36,2169.18,2167.13
06/25/2024,2332.4,2325.05,1837.7,1833.07,2174.03,2172.99
06/26/2024,2316.1,2299.65,1828.33,1819.25,2165.32,2152.47
06/27/2024,2310.55,2323.6,1827.65,1834.71,2160.36,2167.45
06/28/2024,2327.6,2330.9,1841.6,1845.14,2176.07,2178.69
07/01/2024,2327.8,2329.1,1836.87,1835.33,2162.99,2164.9
07/02/2024,2329.0,2331.75,1843.87,1839.75,2173.66,2171.33
07/03/2024,2342.55,2361.35,1845.23,1850.83,2177.4,2186.14
07/04/2024,2357.2,2358.65,1848.52,1848.71,2183.0,2183.4
07/05/2024,2365.35,2379.05,1850.89,1859.94,2184.64,2199.91
07/08/2024,2371.65,2376.65,1850.6,1850.7,2187.85,2191.98
07/09/2024,2362.4,2367.9,1844.33,1847.44,2183.09,2187.7
07/10/2024,2372.9,2384.35,1853.47,1858.84,2192.8,2203.38
07/11/2024,2383.55,2409.2,1851.06,1863.28,2197.39,2212.85
07/12/2024,2404.15,2406.85,1856.97,1855.2,2208.93,2208.77
07/15/2024,2408.5,2421.25,1854.55,1864.12,2207.87,2218.35
07/16/2024,2439.35,2443.2,1882.2,1886.15,2238.1,2244.81
07/17/2024,2470.35,2480.25,1895.25,1903.84,2258.39,2267.94
07/18/2024,2466.95,2463.8,1899.3,1898.85,2257.26,2258.07
07/19/2024,2415.8,2403.5,1871.04,1860.31,2220.36,2208.82
07/22/2024,2401.4,2392.7,1857.48,1852.43,2204.49,2198.89
07/23/2024,2404.45,2403.1,1861.28,1860.72,2211.13,2214.46
07/24/2024,2411.3,2421.45,1870.69,1873.23,2225.63,2230.64
07/25/2024,2371.25,2364.2,1839.85,1836.27,2185.11,2180.74
07/26/2024,2374.55,2386.1,1845.03,1854.95,2187.44,2196.41
07/29/2024,2392.1,2391.1,1866.56,1862.19,2209.1,2211.53
07/30/2024,2389.15,2390.25,1858.04,1864.4,2205.42,2213.37
07/31/2024,2419.6,2426.3,1885.84,1889.36,2234.98,2237.05
08/01/2024,2434.0,2454.55,1906.8,1911.85,2257.29,2269.23
08/02/2024,2461.75,2469.85,1932.97,1925.25,2274.9,2265.35
08/05/2024,2421.75,2393.85,1895.99,1872.95,2209.85,2180.8
08/06/2024,2414.15,2396.55,1898.73,1887.28,2212.09,2195.0
08/07/2024,2392.85,2400.45,1883.65,1888.19,2192.33,2198.09
08/08/2024,2396.3,2411.45,1887.57,1897.81,2191.66,2213.47
08/09/2024,2423.45,2427.35,1899.02,1904.26,2218.43,2222.0
08/12/2024,2442.1,2450.85,1914.36,1920.73,2235.5,2244.98
08/13/2024,2460.55,2471.55,1922.18,1929.04,2252.88,2256.28
08/14/2024,2472.0,2456.7,1923.71,1911.8,2241.86,2226.26
08/15/2024,2456.25,2446.65,1911.45,1906.67,2230.52,2231.1
08/16/2024,2462.15,2485.8,1909.15,1927.74,2241.05,2260.34
08/19/2024,2500.05,2494.55,1928.54,1924.3,2264.8,2258.32
08/20/2024,2521.55,2529.75,1939.07,1942.34,2276.46,2279.56
08/21/2024,2507.65,2497.95,1924.87,1914.43,2254.88,2247.91
08/22/2024,2505.1,2483.0,1909.39,1895.52,2248.58,2233.96
08/23/2024,2500.3,2511.2,1903.73,1907.26,2247.52,2252.04
08/27/2024,2510.3,2508.55,1896.03,1896.71,2246.97,2246.16
08/28/2024,2509.55,2505.25,1896.22,1898.48,2252.07,2253.97
08/29/2024,2517.05,2518.1,1907.67,1914.01,2269.12,2273.59
08/30/2024,2524.15,2513.35,1914.32,1912.16,2277.79,2269.05
09/02/2024,2502.0,2498.6,1904.52,1901.43,2260.81,2257.24
09/03/2024,2503.25,2479.8,1908.23,1889.86,2267.44,2241.99
09/04/2024,2474.45,2487.95,1886.27,1891.34,2238.63,2245.87
09/05/2024,2516.85,2509.55,1912.05,1907.01,2267.68,2262.86
09/06/2024,2517.7,2506.15,1912.19,1903.42,2266.18,2261.8
09/09/2024,2496.65,2499.7,1905.94,1909.02,2258.72,2263.23
09/10/2024,2502.35,2506.3,1911.8,1919.83,2267.13,2274.72
09/11/2024,2521.9,2507.75,1926.23,1924.95,2283.58,2278.04
09/12/2024,2516.55,2545.95,1927.68,1950.45,2283.77,2307.39
09/13/2024,2571.35,2575.1,1955.77,1958.88,2317.81,2321.45
09/16/2024,2587.45,2584.0,1961.03,1957.12,2325.34,2322.5
09/17/2024,2575.5,2574.55,1947.59,1951.77,2312.03,2315.81
09/18/2024,2568.35,2570.1,1943.21,1941.45,2306.64,2308.46
09/19/2024,2590.6,2575.35,1950.46,1945.68,2318.85,2314.98
09/20/2024,2606.45,2605.85,1959.79,1962.73,2334.6,2337.71
09/23/2024,2617.25,2629.95,1969.74,1972.2,2356.31,2363.01
09/24/2024,2628.55,2635.95,1965.37,1969.32,2359.12,2365.5
09/25/2024,2653.8,2661.45,1983.72,1987.04,2373.82,2378.54
09/26/2024,2668.9,2663.75,1996.87,1993.28,2393.47,2392.05
09/27/2024,2660.55,2661.85,1988.5,1986.27,2386.25,2380.49
09/30/2024,2650.15,2629.95,1976.22,1964.84,2367.38,2355.38
10/01/2024,2648.85,2667.55,1986.37,2004.13,2385.29,2408.53
10/02/2024,2655.1,2660.95,1997.96,2005.03,2399.15,2407.1
10/03/2024,2644.0,2647.65,2014.99,2019.1,2394.14,2399.83
10/04/2024,2657.5,2650.05,2019.17,2021.72,2410.09,2414.2
10/07/2024,2651.6,2640.95,2028.47,2019.27,2419.05,2404.58
10/08/2024,2639.55,2639.9,2015.56,2014.51,2401.73,2404.68
10/09/2024,2617.55,2610.7,2001.38,1996.92,2387.99,2383.83
10/10/2024,2617.25,2628.95,2001.67,2012.46,2394.0,2403.12
10/11/2024,2637.05,2648.8,2017.08,2026.07,2409.21,2421.0
10/14/2024,2659.0,2654.9,2035.73,2034.72,2432.19,2431.89
10/15/2024,2653.25,2649.05,2028.94,2023.61,2432.5,2428.12
10/16/2024,2679.4,2675.25,2058.58,2055.13,2458.89,2457.22
10/17/2024,2678.45,2688.85,2062.41,2068.8,2467.66,2482.35
10/18/2024,2711.6,2712.5,2079.25,2078.32,2502.54,2498.21
10/21/2024,2734.3,2736.45,2098.58,2101.32,2518.84,2522.46
10/22/2024,2733.55,2736.5,2105.11,2111.21,2524.98,2532.08
10/23/2024,2751.0,2736.45,2119.1,2113.09,2551.28,2539.43
10/24/2024,2740.0,2732.0,2112.54,2104.46,2536.42,2529.01
10/25/2024,2719.25,2731.45,2094.91,2101.85,2511.77,2521.4
10/28/2024,2730.4,2741.8,2105.41,2110.09,2525.35,2533.42
10/29/2024,2749.15,2769.15,2118.22,2131.14,2543.51,2564.51
10/30/2024,2783.95,2777.8,2144.48,2137.24,2569.31,2560.85
10/31/2024,2779.4,2734.15,2138.75,2122.52,2556.77,2517.33
11/01/2024,2747.35,2744.3,2127.55,2116.68,2530.86,2528.87
11/04/2024,2741.35,2742.6,2113.03,2113.72,2515.74,2516.06
11/05/2024,2738.75,2742.55,2109.39,2109.3,2514.17,2516.29
11/06/2024,2726.2,2660.2,2112.81,2067.77,2534.28,2480.64
11/07/2024,2667.05,2692.0,2066.16,2072.57,2478.76,2490.64
11/08/2024,2685.2,2691.15,2072.44,2081.6,2491.87,2504.65
11/11/2024,2670.55,2624.75,2069.14,2039.17,2498.83,2464.9
11/12/2024,2590.75,2606.85,2022.6,2039.6,2441.0,2456.43
11/13/2024,2609.75,2598.75,2047.61,2044.96,2457.08,2454.78
11/14/2024,2548.45,2567.3,2016.84,2021.75,2425.36,2429.69
11/15/2024,2566.7,2571.8,2026.41,2035.84,2429.38,2442.18
11/18/2024,2590.1,2606.85,2052.14,2063.58,2455.16,2466.6
11/19/2024,2635.95,2623.2,2084.77,2076.0,2495.45,2482.07
11/20/2024,2624.3,2640.55,2072.15,2088.41,2487.05,2507.99
11/21/2024,2669.7,2665.3,2114.14,2109.05,2538.35,2529.9
11/22/2024,2706.25,2694.95,2163.38,2153.0,2598.0,2589.85
11/25/2024,2670.4,2635.4,2123.24,2095.93,2545.96,2509.95
11/26/2024,2630.3,2622.1,2091.09,2085.62,2502.47,2495.98
11/27/2024,2648.0,2640.85,2100.13,2088.91,2517.72,2504.32
11/28/2024,2646.4,2641.85,2090.92,2083.36,2510.64,2503.15
11/29/2024,2664.3,2651.05,2099.2,2089.03,2521.23,2512.4
12/02/2024,2637.25,2642.15,2075.78,2092.58,2508.82,2524.57
12/03/2024,2645.35,2640.65,2085.86,2087.7,2512.82,2513.37
12/04/2024,2642.05,2648.65,2084.05,2087.14,2516.29,2521.25
12/05/2024,2649.15,2640.15,2082.5,2069.35,2515.63,2496.26
12/06/2024,2636.5,2637.3,2067.02,2068.96,2492.55,2495.41
12/09/2024,2655.85,2671.9,2078.47,2091.56,2510.04,2526.82
12/10/2024,2670.45,2689.6,2093.37,2110.53,2535.86,2556.46
12/11/2024,2697.45,2705.45,2120.2,2120.26,2570.4,2576.13
12/12/2024,2713.6,2684.35,2127.19,2109.09,2582.26,2553.35
12/13/2024,2669.55,2659.05,2111.61,2105.17,2544.08,2535.67
12/16/2024,2660.95,2654.2,2103.75,2097.88,2534.29,2531.05
12/17/2024,2641.6,2636.35,2082.9,2078.23,2519.56,2510.6
12/18/2024,2648.35,2635.65,2086.63,2075.05,2524.67,2510.72
12/19/2024,2621.3,2592.45,2071.35,2060.74,2517.5,2493.68
12/20/2024,2606.15,2616.45,2082.05,2084.79,2509.2,2517.29
12/23/2024,2620.55,2613.8,2086.22,2086.6,2519.4,2515.78
12/24/2024,2613.75,,2086.3,,2514.95,
12/27/2024,2625.55,2615.95,2097.55,2081.25,2520.27,2509.48
12/30/2024,2610.3,2609.1,2073.88,2078.93,2501.45,2508.39
12/31/2024,2610.85,,2083.2,,2508.24,
